DateTime,Open,High,Low,Close,Up,Down
2018-12-22 00:00:00-05:00,1484.4,1509.5,1432.69,1461.29,209526.0,210659.0
2018-12-23 00:00:00-05:00,1478.63,1478.63,1363.96,1376.73,527307.0,445815.0
2018-12-26 00:00:00-05:00,1345.45,1396.03,1307.0,1335.69,1068.0,1619.0
2018-12-28 00:00:00-05:00,1370.0,1473.16,1363.01,1470.31,407439.0,390141.0
2018-12-29 00:00:00-05:00,1454.95,1469.0,1390.31,1463.25,459763.0,413307.0
2018-12-30 00:00:00-05:00,1471.63,1513.47,1449.0,1477.78,244953.0,294066.0
2019-01-02 00:00:00-05:00,1510.65,1520.76,1487.0,1504.3,197347.0,213314.0
2019-01-04 00:00:00-05:00,1465.2,1553.36,1460.93,1539.56,215270.0,226056.0
2019-01-05 00:00:00-05:00,1520.2,1538.0,1497.11,1499.41,212750.0,223473.0
2019-01-06 00:00:00-05:00,1529.6,1594.0,1518.31,1575.78,217067.0,240947.0
